year,month,temp_surf,precip,moisture_upper_soil
2078,10,303.7397460938,157.7814125922,40.4342842102
2078,11,303.4478759766,202.7971800417,38.7815361023
2078,12,302.435546875,227.7482366189,38.8647384644
2079,1,302.26953125,442.2004153021,39.3055839539
2079,2,302.1212768555,240.2492815163,37.8268928528
2079,3,302.4095458984,189.5673370454,41.021697998
2079,4,302.2245483398,241.7962518521,40.5407905579
2079,5,301.8044433594,318.5808006674,36.4490394592
2079,6,301.7509765625,138.3747209329,29.4804096222
2079,7,302.3071899414,93.2836483698,21.1760597229
2079,8,303.2803955078,52.4383282755,20.0128955841
2079,9,304.698425293,34.9175671872,24.0879592896
2079,10,304.7981567383,58.947548212,31.8687725067
2079,11,303.405456543,173.6929134931,41.308555603
2079,12,301.8414916992,360.1039610803,40.7258415222
2080,1,301.7548217773,251.2217250187,39.4710044861
2080,2,301.3363037109,566.9704838656,41.4162216187
2080,3,301.7206420898,306.8060267251,41.1944923401
2080,4,301.8569335938,373.0115178041,41.3362770081
2080,5,301.7512207031,271.0059040692,35.9088134766
2080,6,301.9302978516,115.3703571763,34.2276687622
2080,7,302.2940673828,1.9425445153,36.1650047302
2080,8,303.6249389648,60.1391153759,33.7729110718
2080,9,304.2742919922,76.9420992583,35.8329963684
2080,10,303.2838745117,185.2859782521,40.2289505005
2080,11,302.8121948242,256.2431597617,40.4268074036
2080,12,301.9625854492,312.87117186,40.1488380432
2081,1,301.8276367188,509.3178469688,40.4067955017
2081,2,302.3354492188,257.5589718763,38.6014823914
2081,3,301.9271850586,493.1851644069,38.5673484802
2081,4,301.9267578125,493.6727900058,41.57188797
2081,5,302.1883544922,321.5742968023,36.6118087769
2081,6,302.3924560547,195.2509023249,36.3361663818
2081,7,302.9547119141,33.2515028422,41.049407959
2081,8,303.7733154297,48.5856645391,37.0745429993
2081,9,304.9392700195,26.003901934,39.5046157837
2081,10,304.366027832,121.3673260063,39.3678894043
2081,11,303.8959960938,172.838097671,38.9717788696
2081,12,302.3041381836,288.381092716,37.457195282
2082,1,301.9729614258,547.776939813,35.0457115173
2082,2,301.723449707,701.419852674,35.0386238098
2082,3,301.9268798828,551.273111254,37.3130950928
2082,4,301.7122802734,519.7279066779,38.9903526306
2082,5,301.688293457,341.0371514037,40.359375
2082,6,302.3809204102,63.4653033921,35.228099823
2082,7,302.6187744141,47.5539250765,32.600730896
2082,8,304.1092529297,51.8333319342,28.5894966125
2082,9,304.0256958008,160.5186676607,34.9662399292
2082,10,303.5594482422,168.1130742654,39.4244766235
2082,11,303.1377563477,183.9608307928,39.486656189
2082,12,302.4521484375,249.0253353026,38.2345199585
2083,1,302.4862060547,250.9477373678,38.2995567322
2083,2,301.8199462891,505.4344190285,37.0551376343
2083,3,301.7291870117,432.1112651378,39.445526123
2083,4,301.6849365234,370.5559638329,38.8258666992
2083,5,301.9279785156,331.1159620062,33.4398460388
2083,6,302.4559326172,143.3125430485,32.3308143616
2083,7,302.0775756836,214.6550668404,20.4593219757
2083,8,302.4537963867,186.420194339,20.3433742523
